municipio;estado;url_diario_eletronico
Muricilândia;TO;https://www.muricilandia.to.gov.br/diariooficial/
Lajeado Novo;MA;https://lajeadonovo.ma.gov.br/diario-oficial
Palmeirante;TO;https://www.palmeirante.to.gov.br/diariooficial/
Marajá do Sena;MA;https://transparencia.marajadosena.ma.gov.br/diario/
Riachinho;TO;https://www.riachinho.to.gov.br/diariooficial/
Maranhãozinho;MA;https://www.maranhaozinho.ma.gov.br/publicacoes/Diario-Oficial_29
Santa Fé do Araguaia;TO;https://santafedoaraguaia.to.gov.br/diario-eletronico/
Matões do Norte;MA;https://www.matoesdonorte.ma.gov.br/leis.php
São Bento do Tocantins;TO;https://www.saobentodotocantins.to.gov.br/diariooficial/
Milagres do Maranhão;MA;https://app.tcema.tc.br/diario/
São Miguel do Tocantins;TO;https://saomigueldotocantins.to.gov.br/diariooficial/
Nova Colinas;MA;https://novacolinas.ma.gov.br/transparencia/dados-abertos
Novo Airão;AM;https://diariomunicipalaam.org.br/
Nova Olinda do Maranhão;MA;https://novacolinas.ma.gov.br/transparencia/dados-abertos
Anori;AM;https://diariomunicipalaam.org.br/
Olinda Nova do Maranhão;MA;https://olindanova.ma.gov.br/diario-oficial/
Atalaia do Norte;AM;https://diariomunicipalaam.org.br/
Paulino Neves;MA;https://camarapaulinoneves.ma.gov.br/transparencia/dados-abertos
Autazes;AM;https://diariomunicipalaam.org.br/
Pedro do Rosário;MA;https://transparencia.pedrodorosario.ma.gov.br/diario/
Barcelos;AM;https://diariomunicipalaam.org.br/
Peritoró;MA;https://peritoro.ma.gov.br/diario-oficial
Barreirinha;AM;https://diariomunicipalaam.org.br/
Porto Rico do Maranhão;MA;https://portorico.ma.gov.br/diario-oficial
Benjamin Constant;AM;https://diariomunicipalaam.org.br/
Presidente Médici;MA;https://cmpresidentemedici.ma.gov.br/diario-oficial
Boca do Acre;AM;https://diariomunicipalaam.org.br/
Presidente Sarney;MA;https://transparencia.presidentesarney.ma.gov.br/diario/
Borba;AM;https://diariomunicipalaam.org.br/
Raposa;MA;https://www.raposa.ma.gov.br/diario-oficial
Canutama;AM;https://diariomunicipalaam.org.br/
Ribamar Fiquene;MA;http://www.ribamarfiquene.ma.gov.br/diario-oficial
Carauari;AM;https://diariomunicipalaam.org.br/
Santa Filomena do Maranhão;MA;https://santafilomena.ma.gov.br/diario-oficial
Careiro;AM;https://diariomunicipalaam.org.br/
Santana do Maranhão;MA;https://santanadomaranhao.ma.gov.br/diario-oficial
Coari;AM;https://diariomunicipalaam.org.br/
Santo Amaro do Maranhão;MA;https://administracaopublica.com.br/downloads?n=01612671000176
Codajás;AM;https://diariomunicipalaam.org.br/
São Domingos do Azeitão;MA;https://saodomingosdoazeitao.ma.gov.br/diario-oficial
Eirunepé;AM;https://diariomunicipalaam.org.br/
São Francisco do Brejão;MA;https://www.saofranciscodobrejao.ma.gov.br/diario-oficial
Envira;AM;https://diariomunicipalaam.org.br/
São João do Carú;MA;https://saojoaodocaru.ma.gov.br/diario-oficial
Fonte Boa;AM;https://diariomunicipalaam.org.br/
São João do Paraíso;MA;https://www.saojoaodoparaiso.ma.gov.br/diario-oficial
Humaitá;AM;https://diariomunicipalaam.org.br/
São João do Soter;MA;https://saojoaodosoter.ma.gov.br/diario-oficial
Santa Isabel do Rio Negro;AM;https://diariomunicipalaam.org.br/
São José dos Basílios;MA;https://cmsaojosedosbasilios.ma.gov.br/diario-oficial
Ipixuna;AM;https://diariomunicipalaam.org.br/
São Pedro da Água Branca;MA;http://www.saopedrodaaguabranca.ma.gov.br/diario-oficial
Itacoatiara;AM;https://diariomunicipalaam.org.br/
São Pedro dos Crentes;MA;https://www.saopedrodoscrentes.ma.gov.br/diario-oficial
Itapiranga;AM;https://diariomunicipalaam.org.br/
São Raimundo do Doca Bezerra;MA;https://transparencia.cmsaoraimundododocabezerra.ma.gov.br/diario-oficial
Japurá;AM;https://diariomunicipalaam.org.br/
São Roberto;MA;https://saoroberto.ma.gov.br/diario-oficial
Juruá;AM;https://diariomunicipalaam.org.br/
Satubinha;MA;https://transparencia.satubinha.ma.gov.br/diario/
Jutaí;AM;https://diariomunicipalaam.org.br/
Senador Alexandre Costa;MA;https://senadoralexandrecosta.ma.gov.br/diario-oficial
Lábrea;AM;https://diariomunicipalaam.org.br/
Senador La Rocque;MA;https://www.senadorlarocque.ma.gov.br/diario-oficial
Manacapuru;AM;https://www.manacapuru.am.gov.br/diario-oficial
Serrano do Maranhão;MA;https://cmserranodomaranhao.ma.gov.br/diario-oficial
Manaus;AM;https://imprensaoficial.am.gov.br/diario-oficial
Sucupira do Riachão;MA;https://licitacoes.sucupiradoriachao.ma.gov.br/diario-oficial
Manicoré;AM;https://diariomunicipalaam.org.br/
Trizidela do Vale;MA;https://cmtrizideladovale.ma.gov.br/diario-oficial
Maraã;AM;https://diariomunicipalaam.org.br/
Tufilândia;MA;https://transparencia.tufilandia.ma.gov.br/diario/
Maués;AM;https://diariomunicipalaam.org.br/
Turilândia;MA;https://turilandia.ma.gov.br/transparencia
Nhamundá;AM;https://diariomunicipalaam.org.br/
Vila Nova dos Martírios;MA;https://cmvilanovadosmartirios.ma.gov.br/diario-oficial
Nova Olinda do Norte;AM;https://diariomunicipalaam.org.br/
Acauã;PI;https://tcepi.tc.br/diario-oficial
Novo Aripuanã;AM;https://diariomunicipalaam.org.br/
Alvorada do Gurguéia;PI;https://www.tcepi.tc.br/diario-oficial
Parintins;AM;https://diariomunicipalaam.org.br/
Assunção do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Pauini;AM;https://pauini.am.gov.br/diario-oficial
Barra D'Alcântara;PI;https://www.tcepi.tc.br/diario-oficial
Santo Antônio do Içá;AM;https://diariomunicipalaam.org.br/
Bela Vista do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
São Paulo de Olivença;AM;https://diariomunicipalaam.org.br/
Belém do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Silves;AM;https://silves.am.gov.br/diario-oficial
Betânia do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Tapauá;AM;https://www.tapaua.am.gov.br/diario-oficial
Boa Hora;PI;https://www.tcepi.tc.br/diario-oficial
Tefé;AM;https://diariomunicipalaam.org.br/
Boqueirão do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
São Gabriel da Cachoeira;AM;https://diariomunicipalaam.org.br/
Brejo do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Urucará;AM;https://diariomunicipalaam.org.br/
Cajazeiras do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Urucurituba;AM;https://diariomunicipalaam.org.br/
Cajueiro da Praia;PI;https://www.tcepi.tc.br/diario-oficial
Alvarães;AM;https://diariomunicipalaam.org.br/
Campo Alegre do Fidalgo;PI;https://www.tcepi.tc.br/diario-oficial
Amaturá;AM;https://diariomunicipalaam.org.br/
Campo Grande do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Anamã;AM;https://diariomunicipalaam.org.br/
Campo Largo do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Beruri;AM;https://diariomunicipalaam.org.br/
Capitão Gervásio Oliveira;PI;https://www.tcepi.tc.br/diario-oficial
Boa Vista do Ramos;AM;https://diariomunicipalaam.org.br/
Caraúbas do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Caapiranga;AM;https://diariomunicipalaam.org.br/
Caridade do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Caxingó;PI;https://www.tcepi.tc.br/diario-oficial
Cocal de Telha;PI;https://www.tcepi.tc.br/diario-oficial
Cocal dos Alves;PI;https://www.tcepi.tc.br/diario-oficial
Currais;PI;https://www.tcepi.tc.br/diario-oficial
Curralinhos;PI;https://www.tcepi.tc.br/diario-oficial
Curral Novo do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Floresta do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Francisco Macedo;PI;https://www.tcepi.tc.br/diario-oficial
Mateiros;TO;https://www.mateiros.to.gov.br/diariooficial
Geminiano;PI;https://www.tcepi.tc.br/diario-oficial
Guaribas;PI;https://www.tcepi.tc.br/diario-oficial
Novo Jardim;TO;http://www.novojardim.to.gov.br/transparencia/diarioeletronico/
Ilha Grande;PI;https://www.tcepi.tc.br/diario-oficial
Rio da Conceição;TO;https://www.riodaconceicao.to.gov.br/diario-oficial
Jatobá do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Taipas do Tocantins;TO;https://diariooficial.taipas.to.gov.br/index.php/publicacoes
João Costa;PI;https://www.tcepi.tc.br/diario-oficial
Cariri do Tocantins;TO;https://cariri.to.gov.br/diario-oficial
Joca Marques;PI;https://www.tcepi.tc.br/diario-oficial
Jaú do Tocantins;TO;https://www.bandeirantes.to.gov.br/diariooficial
Juazeiro do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Sandolândia;TO;https://sapl.sandolandia.to.leg.br/docadm/pesq-doc-adm?format=csv&tipo=20&o=&numero=&complemento=&ano=&protocolo__numero=&numero_externo=&data_0=&data_1=&interessado=&assunto=&tramitacao=&tramitacaoadministrativo__status=&tramitacaoadministrativo__unidade_tramitacao_destino=&iframe=1
Júlio Borges;PI;https://www.tcepi.tc.br/diario-oficial
São Salvador do Tocantins;TO;https://www.saosalvadordotocantins.to.leg.br/transparencia/diario-oficial-eletronico
Jurema;PI;https://www.tcepi.tc.br/diario-oficial
Sucupira;TO;https://www.sucupira.to.leg.br/leis/leis-municipais/relacao-de-leis
Lagoinha do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Abreulândia;TO;https://www.abreulandia.to.gov.br/diariooficial
Lagoa de São Francisco;PI;https://www.tcepi.tc.br/diario-oficial
Brasilândia do Tocantins;TO;https://brasilandiadotocantins.to.gov.br/legislacao/612
Lagoa do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Lagoa do Sítio;PI;https://www.tcepi.tc.br/diario-oficial
Centenário;TO;https://www.centenario.to.gov.br/diario-oficial
Madeiro;PI;https://www.tcepi.tc.br/diario-oficial
Tabocão;TO;http://fortalezadotabocao.to.gov.br/doemfortalezadotabocao/doemfortalezatabocao.html
Massapê do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Itapiratins;TO;https://itapiratins.diariooficialbr.com.br/
Milton Brandão;PI;https://www.tcepi.tc.br/diario-oficial
Juarina;TO;https://juarina.to.leg.br/diario-oficial
Morro Cabeça no Tempo;PI;https://www.tcepi.tc.br/diario-oficial
Lajeado;TO;https://www.lajeado.to.gov.br/diario-oficial
Morro do Chapéu do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Lagoa do Tocantins;TO;https://diariooficial.lagoadotocantins.to.gov.br/
Murici dos Portelas;PI;https://www.tcepi.tc.br/diario-oficial
Piraquê;TO;https://diario.piraque.to.gov.br/
Nossa Senhora de Nazaré;PI;https://nossasenhoradenazare.pi.gov.br/transparencia/dados-abertos
Recursolândia;TO;https://www.recursolandia.to.gov.br/diario-oficial
Novo Santo Antônio;PI;https://transparencia.webservicesistemas.com.br/app/output/diariomunicipal/diario/ac0a39b66541121971d72e316c3565fc3438ba35.pdf
Rio dos Bois;TO;https://www.riodosbois.to.gov.br/diario-oficial
Olho D'Água do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Santa Maria do Tocantins;TO;https://santamariadotocantins.to.gov.br/diario-eletronico/
Pajeú do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
São Félix do Tocantins;TO;https://www.saofelixdotocantins.to.leg.br/transparencia/resolucoes
Paquetá;PI;https://www.tcepi.tc.br/diario-oficial
Tupiratins;TO;https://doe.to.gov.br/diario
Pavussu;PI;https://www.tcepi.tc.br/diario-oficial
Lagoa da Confusão;TO;https://www.lagoadaconfusao.to.gov.br/diario-oficial
Pedro Laurentino;PI;https://www.tcepi.tc.br/diario-oficial
Santa Bárbara do Pará;PA;http://tcm.ioepa.com.br/diarios/
Nova Santa Rita;PI;https://sts-appm.s3.amazonaws.com/uploads/leis/0aaa995abfa187468b545373de19c44c.pdf
Santa Luzia do Pará;PA;http://tcm.ioepa.com.br/diarios/
Porto Alegre do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Terra Alta;PA;http://tcm.ioepa.com.br/diarios/
Riacho Frio;PI;https://www.tcepi.tc.br/diario-oficial
Ribeira do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Eldorado do Carajás;PA;http://tcm.ioepa.com.br/diarios/
Santo Antônio dos Milagres;PI;https://www.tcepi.tc.br/diario-oficial
Palestina do Pará;PA;http://tcm.ioepa.com.br/diarios/
São Francisco de Assis do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
São Domingos do Araguaia;PA;http://tcm.ioepa.com.br/diarios/
São Gonçalo do Gurguéia;PI;https://www.tcepi.tc.br/diario-oficial
Água Azul do Norte;PA;http://tcm.ioepa.com.br/diarios/
São João da Fronteira;PI;https://www.tcepi.tc.br/diario-oficial
Cumaru do Norte;PA;http://tcm.ioepa.com.br/diarios/
São João da Varjota;PI;https://www.tcepi.tc.br/diario-oficial
Pau D'Arco;PA;http://tcm.ioepa.com.br/diarios/
São João do Arraial;PI;https://www.tcepi.tc.br/diario-oficial
Aurora do Pará;PA;http://tcm.ioepa.com.br/diarios/
São Luis do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Nova Esperança do Piriá;PA;http://tcm.ioepa.com.br/diarios/
São Miguel da Baixa Grande;PI;https://www.tcepi.tc.br/diario-oficial
São João de Pirabas;PA;http://tcm.ioepa.com.br/diarios/
São Miguel do Fidalgo;PI;https://www.tcepi.tc.br/diario-oficial
Tailândia;PA;http://tcm.ioepa.com.br/diarios/
Sebastião Barros;PI;https://www.tcepi.tc.br/diario-oficial
Tucumã;PA;http://tcm.ioepa.com.br/diarios/
Sebastião Leal;PI;https://www.tcepi.tc.br/diario-oficial
Uruará;PA;http://tcm.ioepa.com.br/diarios/
Sussuapara;PI;https://www.tcepi.tc.br/diario-oficial
Abaetetuba;PA;http://tcm.ioepa.com.br/diarios/
Tamboril do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Acará;PA;http://tcm.ioepa.com.br/diarios/
Tanque do Piauí;PI;https://camaratanquedopiaui.pi.gov.br/transparencia/dados-abertos
Afuá;PA;http://tcm.ioepa.com.br/diarios/
Vera Mendes;PI;https://www.tcepi.tc.br/diario-oficial
Alenquer;PA;https://cmalenquer.pa.gov.br/
Vila Nova do Piauí;PI;https://www.tcepi.tc.br/diario-oficial
Almeirim;PA;https://almeirim.pa.gov.br/
Wall Ferraz;PI;https://www.tcepi.tc.br/diario-oficial
Altamira;PA;https://altamira.pa.gov.br/c/publicacoes/
Bodó;RN;https://rn.portaldatransparencia.com.br/prefeitura/bodo/
Anajás;PA;http://tcm.ioepa.com.br/diarios/
Caiçara do Norte;RN;https://caicaradonorte.rn.gov.br/
Ananindeua;PA;https://www.ananindeua.pa.gov.br/
Augusto Corrêa;PA;https://augustocorrea.pa.gov.br/
Itajá;RN;https://itaja.rn.gov.br/guia-de-servicos/diario-oficial/
Major Sales;RN;https://www.majorsales.rn.gov.br/arquivos_download.php?id=879&pg=diariooficial
Bagre;PA;http://tcm.ioepa.com.br/diarios/
Baião;PA;http://tcm.ioepa.com.br/diarios/
Barcarena;PA;https://barcarena.pa.gov.br/
Porto do Mangue;RN;https://diariooficial.fecamrn.com.br/
Belém;PA;https://www.tcmpa.tc.br/diario-oficial-eletronico/
Tibau;RN;https://rn.portaldatransparencia.com.br/prefeitura/tibau/
Benevides;PA;https://www.benevides.pa.leg.br/
Bonito;PA;http://tcm.ioepa.com.br/diarios/
Serrinha dos Pintos;RN;http://www.serrinhadospintos.rn.gov.br/diario-oficial-eletronico
Breves;PA;http://tcm.ioepa.com.br/diarios/
Bujaru;PA;http://tcm.ioepa.com.br/diarios/
Cachoeira do Arari;PA;http://tcm.ioepa.com.br/diarios/
Alcantil;PB;https://alcantil.pb.gov.br/
Cametá;PA;https://prefeituradecameta.pa.gov.br/
Algodão de Jandaíra;PB;https://publicacao.tce.pb.gov.br/
Capanema;PA;http://tcm.ioepa.com.br/diarios/
Amparo;PB;https://publicacao.tce.pb.gov.br/
Capitão Poço;PA;http://tcm.ioepa.com.br/diarios/
Aparecida;PB;https://www.aparecida.pb.gov.br/
Castanhal;PA;http://tcm.ioepa.com.br/diarios/
Areia de Baraúnas;PB;https://areiadebaraunas.pb.gov.br/
Chaves;PA;http://tcm.ioepa.com.br/diarios/
Assunção;PB;https://www.assuncao.pb.gov.br/
Colares;PA;http://tcm.ioepa.com.br/diarios/
Baraúna;PB;https://barauna.pb.gov.br/
Conceição do Araguaia;PA;https://conceicaodoaraguaia.pa.gov.br/
Barra de Santana;PB;https://barradesantana.pb.gov.br/
Curralinho;PA;http://tcm.ioepa.com.br/diarios/
Bernardino Batista;PB;https://www.bernardinobatista.pb.gov.br/
Curuçá;PA;https://camaramunicipaldecuruca.pa.gov.br/
Boa Vista;PB;https://www.boavista.pb.gov.br/
Faro;PA;http://tcm.ioepa.com.br/diarios/
Cacimbas;PB;https://cacimbas.pb.gov.br/
Gurupá;PA;http://tcm.ioepa.com.br/diarios/
Cajazeirinhas;PB;https://cajazeirinhas.pb.gov.br/
Igarapé-Açu;PA;https://prefeituradeigarapeacu.pa.gov.br/
Capim;PB;https://transparencia.capim.pb.gov.br/
Igarapé-Miri;PA;https://igarapemiri.pa.gov.br/c/publicacoes/
Inhangapi;PA;https://www.cminhangapi.pa.gov.br/
Casserengue;PB;https://casserengue.pb.gov.br/
Irituia;PA;http://tcm.ioepa.com.br/diarios/
Caturité;PB;https://publicacao.tce.pb.gov.br/
Itaituba;PA;http://tcm.ioepa.com.br/diarios/
Coxixola;PB;https://publicacao.tce.pb.gov.br/
Itupiranga;PA;http://tcm.ioepa.com.br/diarios/
Cuité de Mamanguape;PB;https://publicacao.tce.pb.gov.br/
Jacundá;PA;https://jacunda.pa.gov.br/
Curral de Cima;PB;http://camaracurraldecima.pb.gov.br/diariooficial
Juruti;PA;http://tcm.ioepa.com.br/diarios/
Damião;PB;https://www.cmdamiao.pb.gov.br/publicacoes
Limoeiro do Ajuru;PA;http://tcm.ioepa.com.br/diarios/
Gado Bravo;PB;https://gadobravo.pb.gov.br/
Magalhães Barata;PA;http://tcm.ioepa.com.br/diarios/
Logradouro;PB;https://www.cmlogradouro.pb.gov.br/
Marabá;PA;https://maraba.pa.gov.br/
Marcação;PB;http://pb.portaldatransparencia.com.br/prefeitura/marcacao/
Maracanã;PA;http://tcm.ioepa.com.br/diarios/
Marizópolis;PB;http://pb.portaldatransparencia.com.br/prefeitura/marizopolis/
Marapanim;PA;http://tcm.ioepa.com.br/diarios/
Matinhas;PB;https://publicacao.tce.pb.gov.br/
Melgaço;PA;http://tcm.ioepa.com.br/diarios/
Mato Grosso;PB;https://matogrosso.pb.gov.br/
Mocajuba;PA;http://tcm.ioepa.com.br/diarios/
Maturéia;PB;http://cmatureia.pb.gov.br/
Moju;PA;https://moju.pa.gov.br/
Parari;PB;https://publicacao.tce.pb.gov.br/
Poço Dantas;PB;https://pocodantas.pb.gov.br/
Muaná;PA;http://tcm.ioepa.com.br/diarios/
Poço de José de Moura;PB;https://publicacao.tce.pb.gov.br/
Nova Timboteua;PA;http://tcm.ioepa.com.br/diarios/
Pedro Régis;PB;https://publicacao.tce.pb.gov.br/
Óbidos;PA;https://obidos.pa.gov.br/
Oeiras do Pará;PA;https://oeirasdopara.pa.gov.br/
Riachão do Bacamarte;PB;https://riachaodobacamarte.pb.gov.br/
Oriximiná;PA;https://www.cmoriximina.pa.gov.br/
Riachão do Poço;PB;https://publicacao.tce.pb.gov.br/
Ourém;PA;http://tcm.ioepa.com.br/diarios/
Riacho de Santo Antônio;PB;https://publicacao.tce.pb.gov.br/
Paragominas;PA;https://paragominas.pa.gov.br/
Santa Cecília;PB;https://santacecilia.pb.gov.br/
Peixe-Boi;PA;http://tcm.ioepa.com.br/diarios/
Ponta de Pedras;PA;https://cmpontadepedras.pa.gov.br/
Joca Claudino;PB;https://publicacao.tce.pb.gov.br/
Portel;PA;https://portel.pa.gov.br/
Santo André;PB;https://santoandre.pb.gov.br/
Porto de Moz;PA;http://tcm.ioepa.com.br/diarios/
São Bentinho;PB;https://publicacao.tce.pb.gov.br/
Prainha;PA;https://camaradeprainha.pa.gov.br/
São Domingos do Cariri;PB;https://publicacao.tce.pb.gov.br/
Primavera;PA;http://tcm.ioepa.com.br/diarios/
São Domingos;PB;https://publicacao.tce.pb.gov.br/
Salinópolis;PA;http://tcm.ioepa.com.br/diarios/
São Francisco;PB;https://publicacao.tce.pb.gov.br/
Salvaterra;PA;http://tcm.ioepa.com.br/diarios/
São José dos Ramos;PB;https://publicacao.tce.pb.gov.br/
Santa Cruz do Arari;PA;http://tcm.ioepa.com.br/diarios/
São José de Princesa;PB;https://publicacao.tce.pb.gov.br/
Santa Izabel do Pará;PA;http://tcm.ioepa.com.br/diarios/
São José do Brejo do Cruz;PB;https://saojosedobrejodocruz.pb.gov.br/
